pays,numero,nom,dep,dep_nom,ligue_code,ligue_nom,ville,code_postal,salle,site_web,logo_fichier,logo_source,logo_statut,couleurs,fond,latitude,longitude,source_donnees,maj
DE,DE9547,1. Kieler Gesundheits- und Rehasportverein,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70187",2026-09-04
DE,DE20096,1. TTSV Schöneck,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 4329",2026-09-04
DE,DE9578,ABC Wesseln,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70061",2026-09-04
DE,DE19648,Akademischer SV Zwickau,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 4422",2026-09-04
DE,DE19547,Ammelshainer TTV,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 3101",2026-09-04
DE,DE33584,ASC Panketal,,,DE-BERLINER-TTV,Berliner TTV,,,,,logos/DE/DE33584-asc-panketal.webp,https://dttb.click-tt.de/cgi-bin/WebObjects/nuLigaTTDE.woa/wr?wodata=-216117192584262983,logo,#f0f010 #f0f0f0 #70b010 #f0f0d0,sombre,,,"click-TT (DTTB), VNr. 10051",2026-09-04
DE,DE9251,ASV Dersau,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70823",2026-09-04
DE,DE25009,ASV Suffersheim,,,DE-BAYERISCHER,Bayerischer Tischtennis-Verband e.V.,,,"Gasthaus Albrecht, Vereinslokal — Laubentaler Straße 23, 91781 Weißenburg/Suffersheim",,logos/DE/DE25009-asv-suffersheim.webp,https://dttb.click-tt.de/cgi-bin/WebObjects/nuLigaTTDE.woa/wr?wodata=-5418001012322682760,logo,#1090d0 #b01010 #1070d0 #709070,clair,,,"click-TT (DTTB), VNr. 104091",2026-09-04
DE,DE28336,ATSV Gebirge Gelobtland,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 4219",2026-09-04
DE,DE64258,ATV Volkmarsdorf 90,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 3238",2026-09-04
DE,DE74312,Aufbau Chemnitz/TTV Burgstädt,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 0003",2026-09-04
DE,DE33653,Baden-Württemberg,,,DE-DTTB-REGION-SUED,DTTB-Region Süd-West,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 0",2026-09-04
DE,DE28449,Baden-Württemberg,,,DE-DTTB-REGION-SUED,DTTB-Region Süd,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 0",2026-09-04
DE,DE67246,Ballsportverein Stechow e.V.,,,DE-BRANDENBURG,Tischtennis-Verband Brandenburg e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 2441",2026-09-04
DE,DE9469,Bargenstedter SC,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70027",2026-09-04
DE,DE9265,Barkelsbyer SV,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70974",2026-09-04
DE,DE9290,Barmstedter MTV,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70868",2026-09-04
DE,DE28323,Baruther SV 90,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 1101",2026-09-04
DE,DE19725,Bergstädter SV Ehrenfriedersdorf,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 4213",2026-09-04
DE,DE20221,Berliner Sport-Verein 1892,,,DE-BERLINER-TTV,Berliner TTV,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 10664",2026-09-04
DE,DE9513,Berliner Sportclub,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 71171",2026-09-04
DE,DE29907,Berliner Tisch-Tennis Verband e.V.,,,DE-BERLINER-TTV,Berliner TTV,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 00001",2026-09-04
DE,DE19976,Bertsdorfer SV,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 1202",2026-09-04
DE,DE45806,Bezirk Vorderpfalz-Nord,,,DE-PFAELZISCHER-TTV,Pfälzischer TTV,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 1100",2026-09-04
DE,DE45807,Bezirk Vorderpfalz-Süd,,,DE-PFAELZISCHER-TTV,Pfälzischer TTV,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 1200",2026-09-04
DE,DE45808,Bezirk Westpfalz-Nord,,,DE-PFAELZISCHER-TTV,Pfälzischer TTV,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 1300",2026-09-04
DE,DE45809,Bezirk Westpfalz-Süd,,,DE-PFAELZISCHER-TTV,Pfälzischer TTV,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 1400",2026-09-04
DE,DE54746,Bezirksfachverband Chemnitz,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 0400",2026-09-04
DE,DE54747,Bezirksfachverband Dresden,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 0200",2026-09-04
DE,DE54748,Bezirksfachverband Leipzig,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 0300",2026-09-04
DE,DE54749,Bezirksfachverband Ostsachsen,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 0100",2026-09-04
DE,DE79386,Blau Gelb Angeln e.V.,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 71052",2026-09-04
DE,DE9487,Blau-Weiß Wittorf Neumünster,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70384",2026-09-04
DE,DE75926,Bobritzscher SV,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 2302",2026-09-04
DE,DE20110,Brandiser TTC,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 3107",2026-09-04
DE,DE9379,Breitenfelder SV,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70241",2026-09-04
DE,DE46226,Breitensportverein Kisdorf,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 73468",2026-09-04
DE,DE9588,Breklumer SV Germania,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70444",2026-09-04
DE,DE9263,Brügger SV,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70984",2026-09-04
DE,DE28244,BSC Motor Rochlitz,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 2347",2026-09-04
DE,DE74009,BSG Wismut Aue,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 4203",2026-09-04
DE,DE9964,BSV 68 Sebnitz,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 2429",2026-09-04
DE,DE20128,BSV AOK Dresden,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 2101",2026-09-04
DE,DE20177,BSV Einheit Frohburg,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 3113",2026-09-04
DE,DE64254,BSV Standortverwaltung Leipzig,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 3233",2026-09-04
DE,DE19917,BTTC Grün-Weiß,,,DE-BERLINER-TTV,Berliner TTV,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 10776",2026-09-04
DE,DE9451,Büdelsdorfer TSV,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 70899",2026-09-04
DE,DE20253,BV Hoyerswerda 1960,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 1122",2026-09-04
DE,DE19979,Colmnitzer SV,,,DE-SAECHSISCHER,Sächsischer Tischtennis-Verband e.V.,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 2404",2026-09-04
DE,DE9463,Delingsdorfer SV,,,DE-TTV-SCHLESWIG-HOL,TTV Schleswig-Holstein,,,,,,,sans-site,,,,,"click-TT (DTTB), VNr. 71293",2026-09-04
DE,DE20137,DJK Blau-Weiß,,,DE-BERLINER-TTV,Berliner TTV,,,,,logos/DE/DE20137-djk-blau-wei.webp,https://dttb.click-tt.de/cgi-bin/WebObjects/nuLigaTTDE.woa/wr?wodata=-6625140950983823577,logo,#d0f0f0 #f0f0f0 #d0d0f0 #1070f0,clair,,,"click-TT (DTTB), VNr. 11119",2026-09-04
